Astrocyte,B cells,Endothelial cells,Fibroblasts,Macrophage,Microglia,Monocyte DC,Mural cells,Neuron,Neutrophil,NK,Oligodendrocytes,OPC,T cells,Naive T cells
Ift88,Dnajc21,Cavin3,Mat2b,Cd300lf,Sfpq,Plcg2,Ep300,Phip,Cdk11b,Actg1,Usp31,Cbx3,Tes,Tbca
Avpi1,Otulin,Lmo2,Trir,Prdx6,Rab20,Ms4a6b,Snrpb2,Zfp821,Ndufb7,Rnf166,Dmwd,Prex1,Capn1,Arcn1
Gpm6b,Limd1,Tsc22d3,Tmx3,Uqcrq,Csnk1e,Ptafr,Ipo7,Ube2r2,Arf6,Bin2,Magt1,Zmym4,Htatip2,Slbp
Celsr1,Gramd3,Mxd4,11-Sep,Chmp2a,Syngr2,Lrrc25,Sdha,Mir99ahg,Arpc1b,Ppp1cc,Idi1,Pgp,Cxcr4,Tdp2
Arhgef4,Krit1,Trip10,Ssbp4,Blvra,Tcf7l2,Ndufa6,Oga,Zfas1,Pnisr,Ier5l,Spsb1,Tdg,Dgat1,Rasa2
Bbof1,Ssrp1,Gimap5,Bag1,Rps7,Lrrc25,Flna,Tead1,Ccdc34,Zc3h12a,Eif5a,Erlin2,Tox3,Aebp2,H2afz
Serpinh1,Msn,Phactr2,Alg5,Cflar,Rcsd1,Pycard,Psma7,Raph1,AY036118,Serbp1,Frmd5,Dhx30,Snrpf,Idnk
Med9os,Cxxc5,Pkp4,Rpl13a,Atp6v0e,Ptbp1,Tnfaip2,BC005537,Vdac3,Rybp,Rbms1,Hsbp1,Kif3a,Celf2,Ing3
Rbp1,Ddx39,Palm,Polr2i,Ttc7,Mgat1,Sh3bp1,mt-Atp6,B930095G15Rik,Atp6v1b2,Psmb10,Mpp5,Scamp5,Atxn1,Arap2
Hey1,Ikbkb,Dab2,Psma2,Tgif1,Zbtb7a,Pafah1b3,Prdm2,Luc7l3,Scamp3,Txnip,Ywhae,Hnrnpa3,Ppp1r18,Ifnar1
Abhd14b,Arf6,Dnajc10,Smg6,Atp6v0d1,Hnrnpu,Rbpj,Ndufb8,Smarcad1,Mapk6,Nop53,Tfdp2,Bex3,Arhgef1,Prrc2c
Abhd14a,Snu13,Nhsl1,Fli1,Rps6,Dennd4a,Rasa4,Eloc,Nudt21,Gnai3,Slbp,Emc7,Eif4g1,Smpdl3a,Atp5mpl
Fam216a,Gm42418,Erc1,Cltc,Zfp36l2,Rreb1,Cyb5r4,Fyttd1,Fibp,Cux1,Irf1,Nt5c3,Syne2,Atp5j2,Xrn2
Mok,Sf3b3,Aplp2,Tpr,Psmb8,Alkbh1,Snhg15,Brd1,Rhobtb3,Wdr26,Myl12a,Plekhg3,Dock3,Prkcq,Mrpl24
Cachd1,Ddx46,Rps19,Eef1b2,Tnfaip8,Mob3c,Tnfrsf1a,Arih1,Zfp846,Tmem167,Hhex,Tspan3,Atp2a2,Arhgap30,Cdkn2aip
Hap1,Ccnd3,Lrp8,Cop1,Wwp1,Rcbtb2,Sod1,Arf4,Kmt2e,Rtf2,Stk10,Ndufb9,Mtfr1l,Borcs8,2810013P06Rik
Itih3,Fam3c,Rell1,Psmb1,Lgals3bp,Crlf3,Dipk1a,Cenpb,Pde10a,Creb5,Rps17,Bace1,Cd9,Rab37,Snu13
Sorcs2,Rchy1,Crybg3,Slc23a2,Cd47,Rilpl1,Mir22hg,Polr2a,Nudt4,Pdzd8,Akap13,Ktn1,Ermp1,Unc119,Irf1
Ift74,Fgfr1op,Grap,Rabep1,Rassf3,Tpm3,Rps27rt,Kmt2e,Gpr137c,Rbm39,Txn1,Rab6a,Gnb1,Pycard,N4bp2l2
Shank2,Chrac1,Map4k2,Cct3,Filip1l,Tnfrsf11a,Cmtm7,Cul3,Bcl7a,Rassf5,Plaat3,Dlg1,Tmx3,Ppp3cc,Cct4
Cdkl2,Mob4,Maff,Fus,Ppp1ca,Retreg1,Npm3,2-Mar,Fscn1,Mbd2,Frat2,Atxn7l3b,Zc3h15,Ndufa6,Ttc14
Dcdc2a,Srsf3,Isyna1,Senp6,C1qa,Ppp1r21,Ifi35,Nr4a2,Cfl2,Tomm7,Arhgef1,Dennd5a,Ybx1,Rassf5,Cyld
Vwa3b,Ndufa6,Cnn3,Pdia4,Psma7,Ube2f,Mpp7,Fam76a,Rnasel,Cdk12,Edf1,Ndufs5,Trim44,Psd4,Srsf5
Kctd1,Sf3b5,Actg1,Mbd2,Pgk1,Eef2k,Mcl1,Psma3,Mageh1,Ubn1,Snrpf,Adcy5,Mycbp2,Emg1,Fam104a
Prdx4,Arhgef1,Cyb5r3,Rpl14,Smim4,Cd180,Arhgap26,Epc2,Ntrk2,Fbxo11,Exosc3,Fam102a,Erlec1,Tbrg1,Kras
Efhc1,Sms,Oip5os1,Srrt,Zfp703,Tgif1,Vamp8,Atp5g3,Zfp292,Atg101,Eno1,Myo1d,Ro60,Kxd1,Jpt1
2010204K13Rik,Topbp1,Emp1,Polr2l,Lpin2,Fmnl3,Nr4a1,Tnrc6c,Tmpo,Cox5b,Mrpl33,Paqr4,Cbx6,Traf3ip3,Eif4b
Ddit4l,Sumo1,St3gal6,Tmem33,Atp6v1f,Brd2,Psme2,Ube2d2a,5330434G04Rik,Epc1,Rp9,Nucks1,Ndufb4,Pik3cd,Ago2
Slc16a11,Ppp1r11,Egr3,Ssr2,Fermt3,Whrn,BC028528,Srpr,Nrxn2,Mrpl57,9-Sep,Aig1,Tmem147,Ppp1cc,Kpna1
Cyb561,Mrps14,Rhobtb1,Ube2d3,Notch2,Lpcat1,Tmem176b,Prrc2c,Atrx,Mob1a,Cd47,Fmnl2,Ppp2r5e,Cast,Mrps34
Dnal1,Znrd1,Ralb,Pcnp,Rps21,Nfam1,Marcks,Rps6kb1,Spin1,Rlf,Arap2,E130308A19Rik,Rab14,Klhl6,Thoc1
Hmgn3,Mbnl1,Adgrl3,Ostc,Fbxo11,Rasal3,Clic1,Tmf1,Kidins220,Chmp2b,Akna,Slc6a9,Map4,Ipcef1,Mrps16
Gm19412,Unc93b1,Gbp3,Mettl9,Rpl7,Pik3r1,Eif3e,Smc1a,Ndrg2,Hcls1,Znrf2,Hadh,Ppm1a,Hif1a,Llph
Lgi1,Cct2,Nckap1,Pomp,Drap1,Ccl9,Tmem238,Cnbp,Matr3,4933434E20Rik,Grk2,Hmox2,Ranbp1,Aopep,Setx
5830408C22Rik,Ost4,Tmem184b,Tnks2,Adgre5,Dram2,Lyz2,Tnrc6a,Rpl35,Inpp5d,Ube2s,Cyp2j12,Kdm1a,Madd,Eif4ebp2
Dzank1,Cux1,Cnot6l,Uba1,Eif3f,Ssr4,Tes,Nipbl,Kif2a,Fcer1g,Rps27rt,Atp6v0e2,Cyhr1,Ndufb1-ps,Isg15
Ift43,B3gnt2,Zfp52,Usp7,Naa50,Tspan14,Ifngr1,Lgals1,Kif3a,Actr2,Grk6,Hhip,Slc35b1,Serbp1,Ddx24
Chpt1,Lbh,Myo1b,Ilkap,Eif3h,Man1a2,Tbc1d9,Jmy,Prkra,Pnrc1,Ppp1r18,Itgb8,Cox7b,Pim1,Rabgap1l
Mapk10,Ago2,Prnp,Rock1,Rest,Mfng,Dnajc15,Ndufb9,Dynlt1f,Tgm2,Dennd1b,Hdac11,Morf4l2,Myl12a,Odc1
Pebp1,Cbfa2t3,Swap70,Psmc3,Hfe,Celf2,Bst2,Sec63,Nr2f1,Cltc,D8Ertd738e,Tjp2,Cox6b1,Fyn,Kxd1
Tril,Psma2,Slc16a1,Brd1,Cd83,Il4ra,Tlr2,Rbbp6,Zcchc14,Neat1,Grcc10,Fasn,Twf1,Lsm5,Lsm8
Armc3,Zfp106,Snu13,Wdr33,Cd48,Pdlim4,Msn,Bach1,Atl1,Ankrd33b,Cd37,Pcnp,Cadm1,Rbms1,Rbm39
Kif19a,Malt1,Nrp1,Itprid2,Ifngr2,Tmed5,Mapkapk2,Eif4g1,Zfp397,Wipf1,Eif3k,Ptpra,Cct5,St8sia4,Cox7b
Bag2,Gtf2a2,Sh2d3c,Srpr,Rps26,Myc,Nmi,Nasp,Rpl11,Srebf2,Ubb,Aldh6a1,Ryk,Ttc39b,Psmb1
Cryzl2,Prorsd1,Map3k20,Pom121,Cox7b,Nop56,Smpdl3a,Zfand6,Gpc1,Pxn,Cd48,Tnni1,Fdps,Fmnl1,Abcf1
Ly6h,Ube2i,Pkig,Ehd4,Ncf4,Snta1,Skil,Ndufb2,Camsap1,Ypel3,Gnas,D16Ertd472e,Dhx36,Glipr1,Igbp1
Cfap20,Crlf3,Sesn1,Rtraf,Bola2,Lcp1,Tmem160,Sar1b,Gm47283,Selenok,Sytl2,Bnip3,Rsu1,Anxa11,Fus
Trim37,Arhgap45,Rps20,Mrpl12,Furin,Mlxipl,Nfam1,Gm26532,Banf1,Ndufa7,Isca1,Glod4,Rfx7,Nabp1,Rictor
Tlcd1,Xrn2,Kif1c,Pum2,Marcksl1,Clip1,Cox8a,Ube2n,Nav3,Taldo1,Mob4,Grm3,Gpr137c,Eef1g,Srsf7
Hepacam,Srp14,mt-Atp6,Acbd6,Ndufa1,Arhgap5,Slc25a20,Map1lc3b,Amer1,Dnajb9,Ndfip1,Gabarapl2,Ndufa1,Nmb,Map3k1
Otx2,Psma1,Tubb4b,Hnrnpul1,Cyth4,Naglu,Ahcyl2,Emc7,Ndufa4,Arf5,Ttr,Arnt2,Abcc5,Uhrf2,4833420G17Rik
Cc2d2a,Jund,Nr4a2,Rabac1,Hnrnpa3,Msn,Stxbp2,Hdgf,Ccdc50,Fth1,Cox7a2l,D1Ertd622e,Spock2,Msn,D8Ertd738e
Dnaja4,Csnk1g3,Sorbs3,Chd1,Cltc,Pnpla7,Jdp2,Psmd7,Pard6a,Timm8b,Sumo2,Unc5c,Ppp1r9a,Gm12840,Arf5
Tex9,Tomm7,Gnb1,Tjp1,Tmsb10,Rbm25,Tgfb1,Sumo3,Snhg1,Mef2d,Efr3a,Cfap36,Jtb,Rapgef6,Ddx23
Prex2,Cbx1,Srpr,Ier3,Abracl,Irf2,Stat4,Tm9sf2,Rab6b,Zfp131,Eef1g,Mettl7a1,Atxn10,Nme2,Hif1a
Nin,mt-Nd5,Wasf2,Hmgn1,Ppib,0610040J01Rik,Mapkapk3,Micos10,Eml5,Ralgds,Lbr,Prdx1,Ube3a,Sms,Pbxip1
Ift27,Sox4,Triobp,Lcn2,Cdc42,Hspa8,Otulinl,Setd3,Smc3,Zfp869,Arl6ip5,Dst,Dync1h1,D8Ertd738e,Smg6
Tprkb,Lgals9,Zfp36l1,Psmd1,Lamp1,Slmap,Dusp2,Sap18,Sncaip,Fam104a,Magoh,Cdc42ep2,Son,Smchd1,Adss
Cfap74,Magoh,Nedd9,Psma4,Prcp,1700017B05Rik,Nfkb1,Rlim,Msantd3,Fbxl3,Srp9,Pim3,Ctcf,Gpi1,Sertad1
Col5a3,Ndufs8,Smagp,Serf2,Sgms1,Otulin,Ifngr2,Psmd12,Slc38a1,Ptprc,Atp5l,1810037I17Rik,Wdfy3,Jak1,Mbd2
Ttc12,Nedd9,Tmc7,Top2b,Bag1,Adora3,Gna13,Uqcrc2,Sms,1810058I24Rik,Mosmo,Nbas,Tmed9,Arpc1b,Atg101
Rnf182,Hibadh,Rpl41,Ramp2,Rab5if,Tns3,Rgs19,Mia3,Vps72,Atf4,Hist1h1e,Pakap,Enho,Crbn,Cdc42se2
Wdr27,Cct4,Ptn,Psmb7,Rab1a,Zfp36l1,Fam107b,Rnps1,Nipsnap1,Ppt1,Dock8,Scg5,Eno1,Rgs2,Mrpl23
Map2,Nubp1,Stt3b,Timm23,Baz1a,Slc35c2,Gng2,Snw1,Tut4,Cox8a,Rnaset2a,4930402H24Rik,Mpped2,Ldha,Chrac1
Antxr1,Gng5,Sos1,Hras,Eif3k,Rpn2,Map3k8,Zfp148,Klf12,Eea1,Ubac2,Ndst1,Mob4,Ifitm1,Tcof1
Grk3,H2-T22,Lars2,mt-Nd4,Snx6,Lgals9,Ttc7,Kmt2a,Yeats4,Rab11b,Xrn2,Ephb1,Tcf25,Tap2,Nin
Tom1l1,Jpt1,Cd320,Ccny,Snx18,Azin1,Rap2a,Ikbkb,Mturn,Rnasel,Ube2i,mt-Nd1,Dctn6,Eif1,Epc1
Fuom,Il7r,Pqlc1,Psmd8,Erp29,Cd302,Stk24,Raly,Cttnbp2,Rac2,Nfatc3,Hint1,Tns3,Nsd3,Atp5h
Fads1,Atp5c1,Smarca2,Pbrm1,Tmem167,4632427E13Rik,H13,Matr3,Mllt3,Ptgs2,Eif3m,Fdps,Prdx2,Adcy7,Tgfbr2
Macf1,Atp5l,Eftud2,Mrps14,Lamtor3,Cotl1,Shtn1,Copa,Prrc2b,Arpc4,Was,Cox6a1,Zfp326,Pgls,Oaz1
Kbtbd11,Phb2,Pdlim7,Rab5c,Tifa,Cept1,Arl4c,Wac,Luc7l,Aff1,Sipa1l1,Micall1,Dag1,Eif3i,Tap2
Atp2a2,Cdc40,mt-Nd2,Timp2,Skap2,Morc3,Mettl23,Atp5d,Brsk1,Sumo1,Limd2,Snx30,Med25,Selenow,Elf2
Lrrc73,Chfr,Rassf1,Mrpl20,Tbcb,Slc29a1,Asnsd1,Ndufa2,Slc25a4,Hnrnph2,Smc4,Sec14l5,Id2,Rpl31,Mrpl9
Psmc3ip,Mrpl30,Klf3,Calr,Eef1b2,Gpr65,Pabpc1,Emd,Epb41l4aos,Eif5,Plec,Rtl8a,Nceh1,Hcls1,Npc2
Wdr34,Smc4,Ptpn12,Arhgap29,Actb,Sult1a1,Ssr4,Smad4,Gas5,Cnih4,Plekhj1,Snrpn,Anks1b,Cd274,Anp32a
Gnal,Eef1d,Atp5j,Chmp3,Lrrc8d,Uvrag,B4galnt1,Coq10b,Vps37b,Grb2,Msn,Bcat1,Acp1,Plec,Malt1
Cspp1,Gadd45gip1,Nus1,Anp32e,Id2,Sf3b1,Dynlt1f,Ppil4,Cnot6,Ppp2r2d,Rasa2,Dync1li2,Fxyd6,Prelid1,Gm16286
Sncg,Hist1h2bc,Junb,Naa15,Stk17b,Pik3r5,Arf5,Ankrd17,Clip3,4932438A13Rik,Ndufa1,Phactr4,Rsbn1l,Lsm4,Ube2d3
Gldc,Inpp5d,Spry1,Zfp330,Rpl18a,Gtf2h2,Bcl2a1b,Ybx1,Kif26a,Hnrnpul1,Bcl7c,4933431E20Rik,Ppp2r1a,Ndfip1,Mllt10
Ephx4,Sem1,Nfe2l1,Ufm1,Aif1,Npl,Tm6sf1,Ndufa7,1110004F10Rik,Nfkbib,Gna13,Rdx,Nktr,Snrpd2,Elk4
Adgra1,Dek,Fos,Rab11a,Gpi1,Swap70,Jpt1,Psma2,Srsf10,Usp15,Tmem123,Adamts4,Cfdp1,Dgka,Nfatc3
Casc4,Tpm4,S100a16,Ppm1a,Ppig,P2rx7,Itgb2,Phactr2,Pbrm1,Ddx3y,Apobec3,Bpnt1,2900097C17Rik,Lpxn,Numa1
Tmem67,Dbnl,Klf7,Grpel1,Aup1,Adrb1,Uvrag,Ptbp2,Smarcc2,Rnf216,S100a13,Cdk19,Ddx42,Odc1,Tnfaip8
Clba1,Tap1,Lgalsl,Esyt2,Bcl2l11,Etf1,H2-T23,Rad23b,Ckap4,Rragc,Arf4,Sec62,Pfn2,Dap,Rab8a
Emp2,Rps27l,Cdkn1a,Ctnnb1,Psma2,Casp8,Snx10,Pttg1ip,Hsp90ab1,Ttc14,Snrpd2,Adam9,Mgll,Rab8a,Fam102a
Adhfe1,Atp5j2,mt-Co2,Hmox2,Cd300a,Stat3,Taf10,Ccnt1,11-Sep,Tardbp,Hist1h1c,Grhpr,Insig1,Grap,Smad4
Barx2,Ndufb5,Jun,Mark3,Akirin1,Kansl1,Tmem219,Lifr,Zswim6,Ttc1,Heca,Hid1,Prkcb,Grcc10,Pds5a
Ndn,H2-DMb1,Tspan9,Eloc,BC005537,Cmtm7,Cpne2,Hook3,Zfp326,Lsp1,Ldha,Rufy3,Serinc5,Rnaset2a,Dynll1
Lhfp,Stt3b,Arhgef3,Snrpd2,Atp5g3,Cebpz,Lrmp,Arpc5,Fam210b,Sri,Sms,Rnf141,Arhgap21,Rnaset2b,Larp4
Ift57,Mettl23,Yes1,Cox7b,Psmc1,Nuak1,Hmga1,Pkn2,Rtraf,Crebbp,Cdkn2aip,H2afj,D5Ertd579e,Trim12a,Nasp
Acot1,Ubl5,Foxo1,Caprin1,Smox,Ppcdc,Lta4h,Junb,Zmiz1,Lasp1,Tcp11l2,Washc2,Tuba1a,Bola2,Neurl3
Ttc9,Vps13a,Hip1,Psmc5,Crtc3,Tifa,Dap,Smarca5,Chd6,Retreg1,Gm20186,Cdk5,Csnk1a1,Slc1a5,Siah2
Rgcc,Set,mt-Co1,Atp5c1,Specc1l,Mapkapk2,Hint2,Uqcr11,Sestd1,Vps37a,Irf7,Itgb4,Ttc19,Itgb2,Hivep2
Pttg1,Ube2a,Cbfa2t3,Eif4b,Atp6v1e1,Dock8,Nuak2,Tnpo1,Naca,Git2,Tubb4b,Gpr155,Yy1,Ptger4,Ythdc1
Plppr4,Actl6a,Pgm2l1,Btf3,Tln1,Plaur,Ccdc88a,Psmc6,Ago1,Fnbp4,Lsm4,Pou3f3,Spen,Cdk2ap2,Ndufv3
Bok,Rell1,Rtl8a,Vti1b,Epsti1,Pacc1,Gfod1,Pcm1,Eif3h,Chd8,Nrbp1,Wbp2,Spire1,Dnaja1,Tpm4
Ppp1r1b,Lamtor2,mt-Cytb,Ppp1cb,Tgfb1,Il10rb,Trpv2,Sf3b1,9330159F19Rik,Mat2b,Birc2,Rtl8b,Rbbp4,Stk24,Ola1
Fam107a,Dhx9,Lipa,Ep300,Tmem189,Hdlbp,Map3k1,Csrnp1,Maml3,Sqstm1,Stat3,Dctn4,Fam172a,Cox17,Oser1
Tmem218,Hmgn2,Usp46,Ifi27,Lrpap1,Sh2b3,Rasgef1b,Brd2,Bhlhb9,Sf3b5,Ost4,Gabarapl1,Fasn,Fermt3,Kmt2a
Morn1,Nme2,Midn,Eif2a,Rragc,Sdc4,Glipr2,Csnk2a2,Tmem47,Lars2,Irak2,Tkt,Sh3gl1,Ankrd44,Snrpd1
Mtss2,Bccip,Mt2,Ino80d,mt-Co2,Fli1,Bin2,Ttc28,Atxn10,Mrps18c,Tmem160,Ids,Kmt2a,Stk10,Map1lc3b
Tmem138,Pole4,Piezo1,Ptbp1,Zyx,Prpf38b,Stk10,Tjp1,Eid1,Oat,Slc3a2,Kdm4a,Txndc16,Ndufv3,Mrpl54
Rpgr,Rtraf,Hipk1,Phip,M6pr,Bbc3,Anp32b,Supt6,Srsf1,Dusp11,Ppp1r12a,Usp22,Psip1,Dnajc9,Nabp1
Rragd,Ndufa1,Tle1,Gm11808,Picalm,Pkn1,Gch1,Pid1,Hnrnpk,Fbxw2,Lrp10,Myo18a,Set,Apobec3,Nup98
Dyrk3,Top2b,Cr1l,Phactr4,Stk24,Mfsd1,Mvp,Bcl7c,Igf1r,Picalm,Anp32a,Pcdh11x,Cep350,Smc4,Psmb10
Fam229b,Elk4,Pxn,Mier1,Msn,Pnrc1,Casp1,Sf1,Tcf20,Elob,Ptk2b,Prrg1,Chd8,Crlf2,Dnajc2
Sfxn1,Micos13,Cers4,Rbm22,Map3k1,Cnpy3,Il13ra1,Gsk3b,Csrp2,Dyrk1a,Ndufb11,Chpt1,Elob,Ugcg,Znrf1
Ppp2r2b,Timm17b,Smim10l1,Tor1aip2,Fcho2,Coro1a,Rps17,Ndufb10,Eny2,Arid4b,Esyt2,Ndufs7,Nav3,Padi2,Lamtor2
Wdr19,Sec11c,Ano6,Mif,Nme1,Ms4a6c,Vasp,Capzb,Snn,Zeb2,Ppig,Cd81,Eid1,Was,Tmem134
Ccdc191,Tex30,Dapk1,Sod2,Ctla2b,Gsdmd,Limd2,Dab2ip,Btbd8,Rnf11,Ss18,Hecw2,Psmd7,Ndufa1,Aff1
Maob,Atp5a1,Ick,Ikbkb,Hexa,Sqor,Anxa11,Mycbp2,Anp32a,Lamp2,Chrac1,Paics,Rap1gds1,Hscb,Krit1
Kif6,Tnfaip8,Gna11,Nfic,Spg21,Ube2d3,Sik1,Atp5l,Vezf1,Bdp1,Mpp7,P3h4,Brd1,Cox6c,Dusp11
Pbx1,Rfc2,Fgfr1,Snrpf,Tor1a,Etv6,Wdr89,Nedd8,Kifap3,Furin,Nab1,Zbtb38,Smim10l1,Arhgef6,Akna
Gm5617,Nono,Irf7,Sdha,Fes,Dgkz,Rnaset2a,Tnks2,Mtcl1,Atp6v1h,Gatad2a,mt-Atp6,Nbea,Ttc39c,Asxl2
Gas1,Ndufb11,Anxa5,Ndufa10,Spty2d1,2410006H16Rik,Nt5c,Tax1bp1,Vdac1,1810026B05Rik,Kdm2b,Scarb2,Dnajb11,Samsn1,Uqcrfs1
Rpgrip1l,Trmt112,Tead1,Morf4l2,Irf5,Tox4,Apobec3,Ccser2,Akap6,Atp6v0b,Anxa11,Kif13a,Papss1,Srpk1,Scamp3
Ccdc148,Tomm5,Rps6ka3,Akt1,Ifrd1,Tsc22d3,Hspb11,Emc3,Nbea,Irak1,Sf3b6,Tmem106b,Ttc14,Dock8,Nup50
Cd24a,Bptf,Ifnar1,Mprip,Nedd8,Pgd,Neurl3,Ppm1a,Ndufs4,Tuba1c,Trim26,Tspyl4,Sin3b,Tuba4a,Chic2
Endog,Cnot6l,AY036118,Lbr,Hnrnpm,Nop58,Tmem173,Rpl22l1,Stau2,Kdm5a,Cks2,Pon2,Nucks1,Sumo2,Cirbp
Intu,Arhgap17,4930523C07Rik,Adam10,Rel,Csk,Hfe,Glg1,Tnrc18,Rbm6,Ppia,Zdhhc17,Selenot,Tnfaip8,Yeats4
Cadm1,Baz1a,Nbeal1,Nub1,Gns,Vps18,Eif3i,Tor1aip1,Pdap1,Aff4,Usp12,Hdhd2,Gigyf1,Iqgap2,Snrpd2
Irak1bp1,Ddx6,Dcun1d3,Ubl5,Cd63,Plcl2,Anxa7,N4bp2l2,4930402H24Rik,Rab4b,Mrpl30,Dlg2,Ndufb8,Prkca,H2afv
Psph,Irf2bp2,Dusp1,Fip1l1,Arhgdia,Dock2,Myl12b,Rsbn1l,Pcbp4,Rsbn1l,Fbxl12,Selenot,Adam9,Nt5c,Ptbp1
Slc7a2,Trir,Ifi35,Pdcl3,Ctsa,Eif4a2,Prkcd,Sarnp,Rpl32,Atox1,Pdcd6ip,Rhoj,Psmc3,Txnip,Exosc8
Gm12326,Ttc14,Mier1,Nono,Naca,Csf2rb,Ehd1,U2surp,Atp5o,Capza2,Csnk1g2,Pafah1b1,Nf1,Tagln2,Cox16
9230114K14Rik,Dennd1b,Atf4,Mrpl11,Ggh,Snx29,Gngt2,Kdelr1,Rnf187,Ddx3x,Nsmaf,Vbp1,Sptan1,Mrpl30,Pop5
Fam161a,Ptbp3,Esyt1,Smc1a,Ptprj,Kcnk13,Eif4ebp1,Rbm42,Ap3b2,Ndufb1-ps,Ttc7,Fgf1,Etnk1,Atp5mpl,Utp3
Fut9,Ddx24,Osbpl9,Morf4l1,Creg1,Tra2a,Pdcd4,Nufip2,Msra,Cggbp1,Pole4,Igsf8,Spag9,Cox7b,Ppp1cc
Ndufb5,Ppia,Tax1bp3,Copb1,Ier3ip1,Tsc22d2,Tgif1,Ndufa13,Shb,Npepps,Hpcal1,Tyro3,Fam92a,Med10,Ddx21
Zc2hc1a,Sumo2,Uqcrb,Gatad1,Atp5k,Rplp1,Dock10,Clstn1,Rps7,Ywhag,2410006H16Rik,Nav1,Pitpnb,Nfil3,Aimp1
Sox1,Dennd4a,Noct,Rbbp4,Was,G3bp1,Spint1,U2af2,Pnn,Pglyrp1,S100a4,Cyb5a,Ubxn6,Birc2,Psip1
Dgat2,Tcof1,Tnfrsf12a,Rps19,Dmxl1,Bcl2a1a,Pik3ap1,Wdr33,Rps28,Wbp11,Ubl5,Abhd17a,Mif,Elob,Esco1
Spata7,Nme1,Adam15,Id1,Tmem176a,Diaph2,Mrps16,Eef2,Rnps1,Wdr45b,Eif3i,Jph1,Ncoa1,Zfas1,Fundc2
Mir99ahg,Rbm39,Slk,Ppfibp1,Ywhag,Glmp,Nadk,Tm9sf3,Tdg,Sh3kbp1,Rin3,Mgat3,Camsap2,Stk4,Helz
mt-Nd4,Mtpn,Hlf,Cct6a,0610012G03Rik,Cln8,Cmc1,Hnrnpk,Csnk2a1,Pet100,Sec11a,Wipi1,Leng8,Cox6b1,Kdm5a
Tango6,Atf7ip,11-Sep,G3bp2,Atp6v0b,Gramd1a,Ankrd44,Midn,Gnb1,Mysm1,Ddx46,Bcar1,Ube2d2a,Bst2,Slc25a36
Gstm5,Mlxip,Rock2,Mapk1,Mcfd2,Cd300lf,Anxa4,Cbx4,Ilf3,Sar1a,Ptp4a2,Slc4a2,Ctdsp2,Hspe1,Zfp869
Lekr1,Tspo,Msn,Paip1,Calm1,Neu1,Nectin1,Ddx42,Cbx5,Cstb,Suco,Elmo1,Wasl,Riok1,Tomm5
Chchd2,Hnrnpm,Dynlt3,Eny2,Atp1a1,Fam91a1,Myh9,Kpnb1,Syncrip,Oser1,Spty2d1,Pafah1b2,Pebp1,Edf1,Cnot6l
Glis3,H2afj,Shroom2,Eif5b,Itprid2,Wdr26,Clec4a2,Rbm8a,Tmem132a,Ube2f,Il21r,Slc20a2,Cfap36,Lcp2,Arhgap31
Crip2,Svbp,Ephx1,Uqcrc1,Tmem160,Pld3,Mdfic,Rere,Vangl2,Prdx6,Tpm3,mt-Co3,Ddx39b,Isg15,Sugt1
Tulp3,Sorl1,Znrf1,Prdx4,Ddi2,Cmklr1,Mrpl54,Ctcf,Cox7c,Snf8,Capzb,Npat,Trappc6b,Nol7,Znrd1
Slc41a1,Cox7a2,Ralgapa1,Cmpk1,Vps29,Ly6e,Sri,Usp34,Ehmt1,Zfp106,Sidt2,Ano4,1110004F10Rik,Cox7c,Chchd1
Bola1,Zfp608,Egr1,Etf1,Fyb,Acads,Ptms,Sumo2,Ube2s,Fam49b,Pbxip1,Ddrgk1,Tnrc6c,Ctla2b,Cabin1
Dgcr6,Alyref,Rps14,Ubap2l,Slc31a1,Pros1,Mrpl30,Dazap1,Dynlrb1,Ccdc124,Mlxip,Smdt1,Strn3,Epb41,Mepce
Ruvbl2,Txn1,Lats2,Taok1,1700017B05Rik,Uap1l1,Eef2,Tbl1x,Polr2d,Cript,Pik3cd,Klf15,Smarcd1,Clec2d,Grk2
Map9,Atp5g3,Amotl2,Tmed10,P4hb,Hnrnpab,Lrrfip2,Tab2,Arglu1,Acap2,Atp5md,Sytl2,Cobll1,Lrrfip1,Ankrd13c
Caskin1,Serf2,Tacc1,Cops5,Tmem176b,Lactb,Cd180,Nupr1,Lnpk,Ncor1,Rad54l2,Cdh19,Kif2a,Gm26917,Rsbn1l
Abat,Hcls1,Fyco1,Rps18,Sgpl1,Tspan4,Zfp516,Ddx24,Gdi1,Znrd1,Sem1,Apc,Arhgap35,Tbca,Arpc3
Epb41l5,Cox7b,Rasal2,Eif3i,Tma7,Neat1,Pde4b,Usp7,Atp5md,Gpbp1l1,Atp6v1f,Mfsd6,Ssr3,Rpl9-ps6,Mob2
Nfib,Sec63,Nomo1,Eif4g3,Surf4,Fscn1,Ldlr,Bloc1s1,Acvr2b,Ssu72,Cmpk1,Setd7,Trappc2l,Sh3kbp1,Gna13
Cav2,Snx20,Mfhas1,Rab18,Fbxl5,Lrch4,Bak1,Nap1l1,Efnb1,Capzb,Flna,Rasl11b,Synrg,Tmem71,Cmc1
Suclg1,Ybx1,Slc31a1,Rpl24,Psmc3,Cmtm3,Foxp1,Hnrnpdl,Ttc19,Plekhj1,Higd1a,Smim1,Elovl6,Micos13,Eny2
