Astrocyte,B cells,Endothelial cells,Fibroblasts,Macrophage,Microglia,Monocyte DC,Mural cells,Neuron,Neutrophil,NK,Oligodendrocytes,OPC,T cells,Naive T cells
Prxl2a,Rpl18a,Slco1c1,Foxd1,Metrnl,Olfml3,Rpl26,Ppp1r12a,Prdx2,Ifitm1,Trbc1,Edil3,Mtss2,Emb,Rplp1
Meig1,Rps16,Tsc22d1,Col4a1,Ms4a7,Ltc4s,Rpl17,Nr2f2,Gad2,Slfn2,Dusp5,Ptprd,Igsf9b,S100a6,Rpl36
Aqp4,Rpl17,Rgcc,Pdpn,Gpx1,Klf6,Rpl28,Myl6,Nsg1,Ifitm6,Klrb1b,Kctd13,Spon1,Dusp5,Ccr7
Atp1b2,Rpl39,Sgms1,Pcolce,Fcgr2b,Cd300c2,Rps20,Crip1,Fxyd6,Slpi,Rps24,Grb14,Cadm2,Ltb,Rpl18a
Cdr1os,Pou2af1,Cd200,Ifitm3,Cd14,Sparc,Rps18,Rbpms,Ppp1r14b,Ifitm2,Rps27,Slc12a2,Nxph1,Shisa5,Vps37b
Gm19935,Rps10,S1pr1,Ahnak,Fcer1g,Dusp1,Ifitm2,Pde5a,Tcf4,Lmnb1,Rpl19,Gatm,Pcdh10,Epsti1,Rps27a
Gfap,Rps13,Eng,Serpinf1,Ctsb,Mef2c,Rps9,Timp3,Ccdc88a,Cxcr2,Spry2,Ppp1r14a,Cdo1,Cxcr6,Rps29
Mlc1,Rpl13,Col4a2,Col5a2,Lilrb4a,Lpcat2,Ms4a4c,Zic1,Hmgn2,Cebpb,Rpl34,Il33,Ncald,Psmb8,Rps5
Elof1,Rpl19,Jcad,Ccn2,Cebpb,Unc93b1,Rpl23,Gper1,Bex2,S100a6,Zfp36l2,Sez6l2,Serpine2,Tmsb10,Rpl35a
Bcan,Rpl21,Plat,Rfk,Eps8,Sirpa,Rps16,Cspg4,Ncam1,Alox5ap,Klra4,Ttll7,Pcsk1n,Rpl27,Rack1
