,0
405,Rnf152
406,Bcl2
407,Serpinb2
408,Cntnap5a
409,Tfcp2l1
410,Gli2
411,Inhbb
412,Cfap221
413,Dbi
414,C1ql2
415,Marco
416,Celrr
417,Gm15392
418,Dpp10
419,Lypd1
420,Nckap5
421,Tmem163
422,Cxcr4
423,Thsd7b
424,Cd55
425,Gm16083
426,Fcmr
427,Il10
428,Ikbke
429,Ctse
430,Slc26a9
431,Tmcc2
432,Pik3c2b
433,Ren1
434,Atp2b4
435,Optc
436,Chit1
437,Chil1
438,Myog
439,Gm57107
440,Syt2
441,Ptpn7
442,Gpr37l1
443,Lmod1
444,Gm57161
445,Pkp1
446,Gm37759
447,Gm19705
448,Gm4258
449,Gm28556
450,Lhx9
451,Aspm
452,Cfhr1
453,Cfh
454,Kcnt2
455,Rgs13
456,Rgs1
457,Rgs18
458,Gm29514
459,Brinp3
460,Ptgs2
461,Ptgs2os2
462,Prg4
463,Hmcn1
464,Niban1
465,Colgalt2
466,E330020D12Rik
467,Rgs16
468,Cacna1e
469,Gm29282
470,Fam163a
471,Nphs2
472,Gm15486
473,Brinp2
474,Astn1
475,Pappa2
476,Tnr
477,Gm37294
478,4930523C07Rik
479,Gpr52
480,Dars2
481,Gm57181
482,Gm38304
483,Myoc
484,Fmo2
485,Gm37273
486,Prrx1
487,Sele
488,Sell
489,Selp
490,F5
491,Nme7
492,Atp1b1
493,Gm26685
494,Gm32652
495,Xcl1
496,Gm37864
497,Rcsd1
498,Cd247
499,Ildr2
500,Lrrc52
501,Pbx1
502,Rgs5
503,Rgs4
504,Ddr2
505,Gm6345
506,Spata46
507,Fcrla
508,Fcgr2b
509,Gm10522
510,Cfap126
511,Pcp4l1
512,Gm20045
513,Slamf1
514,Gm37065
515,Slamf6
516,Atp1a2
517,Gm57108
518,Fcer1a
519,Ackr1
520,Ifi207
521,Ifi204
522,Mndal
523,Ifi211
524,Ifi203
525,Ifi205
526,Fmn2
527,Grem2
528,Rgs7
529,Wdr64
530,Exo1
531,Pld5
532,Itpkb
533,Stum
534,Ccdc121rt1
535,Enah
536,Susd4
537,Tlr5
538,Disp1
539,Gm37800
540,Iars2
541,Gm2061
542,Slc30a10
543,Gm35546
544,Tgfb2
545,A430105J06Rik
546,Spata17
547,Gm15509
548,Esrrg
549,Ush2a
550,Kcnk2
551,A430027H14Rik
552,Cenpf
553,Atf3
554,Gm37168
555,Gm32200
556,Gm57171
557,4930570N18Rik
558,Lamb3
559,Hsd11b1
560,G0s2
561,Camk1g
562,Gm6403
563,Plxna2
564,Acbd7
565,Meig1
566,Fam107b
567,Gm13180
568,Frmd4a
569,Gm13187
570,Bend7
571,Ucma
572,Mcm10
573,4930551O13Rik
574,Gm13219
575,Gata3
576,Gm13256
577,Itih2
578,Itih5
579,Gm13261
580,Gm38171
581,Gm13291
582,Gm10851
583,Il2ra
584,Itga8
585,E030013I19Rik
586,Gm13270
587,Cubn
588,Vim
589,St8sia6
590,Mrc1
591,Slc39a12
592,Cacnb2
593,Malrd1
594,Nebl
595,Gm3363
596,Otud1
597,Etl4
598,Gpr158
599,Gad2
600,Mastl
601,Hnmt
602,Il36g
603,Il1rn
604,Psd4
605,Pnpla7
606,Stpg3
607,Grin1
608,Sapcd2
609,Ptgds
610,Gm57475
611,Fcna
612,Gm13538
613,Kcnt1
614,Gm13554
615,Card9
616,Egfl7
617,Snhg7
618,Slc2a6
619,Gm13398
620,Fcnb
621,F730016J06Rik
622,Cel
623,Cfap77
624,Gm57451
625,Ntng2
626,Pkn3
627,Zer1
628,Ier5l
629,9330198N18Rik
630,Prrx2
631,Hmcn2
632,Ass1
633,Lamc3
634,Dnm1
635,Lcn2
636,Gm13412
637,Eng
638,Sh2d3c
639,6330409D20Rik
640,Gm13530
641,Pbx3
642,Gm57458
643,Phf19
644,Traf1
645,Gm46733
646,Hc
647,AI182371
648,Ggta1
649,Gm57448
650,Lhx6
651,Ptgs1
652,Lhx2
653,Arhgap15
654,Gm28643
655,Vis1
656,Gm13470
657,Gm13481
658,Lypd6b
659,Gm13480
660,Gm48908
661,Gm13485
662,Rbm43
663,Tnfaip6
664,Neb
665,Cacnb4
666,Galnt13
667,Kcnj3
668,Nr4a2
669,BB557941
